Tirana 's national library has three copies of the " Book of Mass ' . "	S-LOC O O O O O O O O O B-MISC I-MISC E-MISC O O O
Among the council 's five permanent members , Russia and the United States appeared to support most elements of the Chilean proposal , while Britain , France and China were cautious .	O O O O O O O O S-LOC O O B-LOC E-LOC O O O O O O O S-MISC O O O S-LOC O S-LOC O S-LOC O O O
Following are the European soccer	O O O S-MISC O
-- Gordana Kukic , Belgrade Newsroom +381 11 222 4254	O B-PER E-PER O O O O O O O
The Burundi team were unable to leave their troubled country for a preliminary round first leg match in Bangui earlier this month because of an air ban imposed in a recent set of internationally-sponsored sanctions .	O S-LOC O O O O O O O O O O O O O O O O S-LOC O O O O O O O O O O O O O O O O O
MONTREAL 70 59 .543 11	O O O O O
" July was still above the historic average for that month , " the CBSA said .	O O O O O O O O O O O O O O O O O
These are the leading stories in the Angolan press on Friday .	O O O O O O O S-MISC O O O O
Revised singles draw for the	O O O O O
It is not known why China raised the issue .	O O O O O S-LOC O O O O
Qualifier vs. 10 - Marcelo Rios ( Chile )	O O O O B-PER E-PER O S-LOC O
We demand to vote in Doboj , " other banners said .	O O O O O S-LOC O O O O O O
JYVASKYLA , Finland 1996-08-24	S-LOC O S-LOC O
Aggregate 1-1 .	O O O
MINNESOTA 66 67 .496 14	O O O O O
Ethiopia needed a penalty shoot-out in Addis Ababa to overcome Uganda after a 2-2 aggregate scoreline .	S-LOC O O O O O B-LOC E-LOC O O S-LOC O O O O O O
1906 - German-born U.S. biologist Max Delbruck born .	O O O S-LOC O B-PER E-PER O O
" Algeria expresses its sharp rejection of a meeting putting together masterminds and ideologists and financers of terrorism , " the spokesman said , adding the Algerian government has asked the British embassy in Algiers for clarifications .	O S-LOC O O O O O O O O O O O O O O O O O O O O O O O O S-MISC O O O O S-MISC O O S-LOC O O O
Daoud said .	S-PER O O
But unlike his two predecessors , Juan Carlos Ongania and Marcelo Levingston , who ruled Argentina with an iron hand , Lanusse steered the country toward democracy .	O O O O O O B-PER E-PER O O B-PER E-PER O O O S-LOC O O O O O S-PER O O O O O O
First 24 weeks 1996	O O O O
TALLINN 1996-08-27	S-LOC O
President Mobutu Sese Seko , who seized power in a 1965 coup , introduced a multi-party system in 1990 but Zaire 's transition has lagged well behind that of other states in the region .	O B-PER I-PER E-PER O O O O O O O O O O O O O O O O S-LOC O O O O O O O O O O O O O O
Collective farms and Ukraine 's nascent private farming sector have no money for fertiliser , no money for herbicides and pesticides , no money to repair old or buy new machinery , no money for fuel , and none to buy good seed .	O O O S-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Lewis Martin , with haunted eyes , posed bare-chested to reveal his missing arm and leg , blown off during a battle at Petersburg , Virginia , in July 1864 .	B-PER E-PER O O O O O O O O O O O O O O O O O O O O O S-LOC O S-LOC O O O O O
-- Jakarta newsroom +6221 384-6364	O S-LOC O O O
First Union National Bank of Florida said on Wednesday it agreed to settle a class action law suit involving its collateral protection insurance ( CPI ) program .	O O O O O O O O O O O O O O O O O O O O O O O O S-MISC O O O
Senior ministers have repeatedly warned since the fiscally-tight budget was handed down on Tuesday night that the chance of lower official rates could be hampered in the Senate .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Such hesitancy on the part of the government had damaged public confidence in the rule of law , the paper said .	O O O O O O O O O O O O O O O O O O O O O O
At 1347 GMT , December Euromark futures were trading at 96.78 , two basis points down on the day .	O O S-MISC O O S-MISC O O O O O O O O O O O O O O
67 67 68 , David Williams 67 67 68	O O O O B-PER E-PER O O O
Advanced Medical buying IVAC Medical .	O O O O O O
Keane wins contract from ING units .	O O O O O O O
Fluminense 4 1 1 2 3 6 4	O O O O O O O O
Asif Mujtaba 2 3 0 90 51 30.00	B-PER E-PER O O O O O O
Overnight swap was at 0.45 / 0.48 and tom / next at 0.50 / 0.55 .	O O O O O O O O O O O O O O O O
Flamboyant former Surinamese rebel leader Ronny Brunswijk was in custody on Wednesday charged with attempted murder , police said .	O O S-MISC O O B-PER E-PER O O O O O O O O O O O O O
Bedie pardoned two other journalists jailed for incitement to disturb public order .	S-PER O O O O O O O O O O O O
Fortuna Sittard 2 Heerenveen 4	O O O O O
The New York Stock Exchange said its session one volume was 5,700 shares compared to 53,400 shares Monday .	O O O O O O O O O O O O O O O O O O O
TORONTO 1996-08-21	S-LOC O
Bayern Munich 4 ( Zickler 26th , Helmer 37th , Klinsmann 44th ,	O O O O S-PER O O S-PER O O S-PER O O
Yr / yr Inflation ( % ) +3.7 +3.6 +4.7 119.3 -	O O O O O O O O O O O O
KIEV 1996-08-23	S-LOC O
-- Caracas newsroom , 582 834405 REUTER JPR	O S-LOC O O O O S-PER O
Maccabi Petah Tikva 0 Betar Jerusalem 3	O O O O O O O
Ssangbangwool 1 LG 0	O O O O
A similar poll conducted on Saturday and Sunday had showed a nine point lead for Clinton , ahead by 47-38 percent .	O O O O O O O O O O O O O O O S-PER O O O O O O
USDA gross cutout hide and offal value .	O O O O O O O O
Ballanger beat Germany 's Annett Neumann 2-0 in the best-of-three matches final to add the world title to the Olympic gold medal she won in July .	S-PER O S-LOC O B-PER E-PER O O O O O O O O O O O O O S-MISC O O O O O O O
SEOUL 1996-08-29	S-LOC O
Support for Ruutel , 68 , remained constant at 34 votes .	O O S-PER O O O O O O O O O
Several hundred workers also marched in the western town of Indre where 500 or 1,600 jobs are at risk .	O O O O O O O O O O S-LOC O O O O O O O O O
La Voie published an article suggesting the presence of Bedie had brought local team ASEC bad luck during their defeat by Orlando Pirates of South Africa in the final of the African Champions Cup in December .	O O O O O O O O O S-PER O O O O O O O O O O O B-PER E-PER O B-LOC E-LOC O O O O O B-MISC I-MISC E-MISC O O O
On Sunday voters in Hungary also cast ballots for municipal councils but these will be invalidated following the cancellation of local elections by the OSCE on Tuesday .	O O O O S-LOC O O O O O O O O O O O O O O O O O O O O O O O
FEATURE - Rich new detail on U.S. Civil War unearthed .	O O O O O O B-MISC I-MISC E-MISC O O
" Our stand is firm , namely we are calling on ( the Russian ) government to end the economic embargo on Iraq and resume trade ties between Russia and Iraq , " he told reporters .	O O O O O O O O O O O O O S-MISC O O O O O O O O S-LOC O O O O O S-LOC O S-LOC O O O O O O
Contributing to the peso 's weakness , another dealer said banks who might have sold greenbacks in Monday 's trading appeared to shy away from the market .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
That is where the plane is being directed to , " Ruth Collin of Essex police , the force responsible for Stansted , said .	O O O O O O O O O O O B-PER E-PER O S-LOC O O O O O O S-LOC O O O
Ajax , who had a dismal series of pre-season results before beating NAC of Breda in their opening game , had the best of an entertaining first half but failed to break the deadlock .	O O O O O O O O O O O O O O S-LOC O O O O O O O O O O O O O O O O O O O O
Gazprom was the loser of the day with prices closing at $ 0.300 , down from $ 0.355 on Tuesday and $ 0.445 on Monday .	O O O O O O O O O O O O O O O O O O O O O O O O O O
Morgan Stanley said it downgraded the stock to underperform from outperform .	O O O O O O O O O O O O
6. Koerts 7	O S-PER O
- Black market booms in the shadow of state-run supermarkets .	O O O O O O O O O O O
162-4 ( N. Fairbrother 53 not out ) .	O O B-PER E-PER O O O O O
PHILADELPHIA 53 78 .405 29	O O O O O
Dahshour is the site of Egypt 's second largest pyramid , built for the pharaoh Seneferu more than 4,500 years ago .	S-LOC O O O O S-LOC O O O O O O O O O S-PER O O O O O O
He quoted Ross as telling him : " The important thing is the Israelis are prepared to move . "	O O S-PER O O O O O O O O O O S-MISC O O O O O O
Cheung was being detained pending formal charges , police said .	S-PER O O O O O O O O O O
Kotlarska , who was 24 and had a three-year-old child , was Miss Poland in 1991 and went on to a U.S.-based modelling career that included working with Italian designer Gianni Versace and Vogue magazine , the Gazeta Wyborcza newspaper said .	S-PER O O O O O O O O O O O B-MISC E-MISC O O O O O O O S-MISC O O O O O O S-MISC O B-PER E-PER O O O O O O O O O O
8. Gianluca Corini ( Italy ) Aki same time	O B-PER E-PER O S-LOC O S-PER O O
AKRON , Ohio 1996-08-22	S-LOC O S-LOC O
The election will now go before an electoral college involving MPs and local government representatives that will be convened by the parliamentary Speaker in the next day or so .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Sharif said similar rallies would be held in the Balochistan provincial capital Quetta and the Punjab provincial capital Lahore before an opposition march on the capital Islamabad .	S-PER O O O O O O O O S-LOC O O S-LOC O O S-LOC O O S-LOC O O O O O O O S-LOC O
Corporate America is planning major changes in employee compensation in the next few years , according to a recent study .	O S-LOC O O O O O O O O O O O O O O O O O O O
PRESS DIGEST - Washington Post business - Aug 26 .	O O O O O O O O O O
Brazil to use hovercrafts for Amazon travel .	S-LOC O O O O S-LOC O O
Germany , driving a Ferrari , won the Belgian Grand Prix motor	S-LOC O O O O O O O B-MISC I-MISC E-MISC O
LATEST ACTUAL	O O
Up to 100,000 tonnes of copper held in Shanghai bonded warehouses , confounding the world market as to its source and ultimate fate , probably belongs to China 's strategic state reserve , industry sources said on Friday .	O O O O O O O O S-LOC O O O O O O O O O O O O O O O O O O S-LOC O O O O O O O O O O O
2.2-0-13-0 , Ganguly 2-0-14-0	O O S-PER O
TUNIS 1996-08-24	S-LOC O
Sydney City 20 14 1 5 487 293 29	O O O O O O O O O
But he added without elaborating , " hopefully we will see some things come out in this next trial . "	O O O O O O O O O O O O O O O O O O O O O
3. Michael Schumacher ( Germany ) Ferrari 1:51.778	O B-PER E-PER O S-LOC O O O
Eight minutes after the interval , Heerenveen 's Romeo Wouden broke through the Amsterdam defence , left defender John Veldman standing and curled the ball beyond goalkeeper Edwin van der Sar into the Ajax net .	O O O O O O O O B-PER E-PER O O O S-LOC O O O O B-PER E-PER O O O O O O O B-PER I-PER I-PER E-PER O O O O O
World Series cricket match between India and Sri Lanka on	B-MISC E-MISC O O O S-LOC O B-LOC E-LOC O
( in billions of yen unless specified )	O O O O O O O O
LONDON 1996-08-24	S-LOC O
They also show that police investigating a theft visited Dutroux late last year at the house where Julie and Melissa were being held but accepted his word that the children 's cries they could hear came from neighbours .	O O O O O O O O O S-PER O O O O O O O S-PER O S-PER O O O O O O O O O O O O O O O O O O O
Monaco 4 2 1 1 7 4 7	O O O O O O O O
Buyers Sellers Last Prev	O O O O
At Worcester : Match drawn .	O S-LOC O O O O
International Philippine coconut oil prices as reported by the United Coconut Associations of the Philippines ( dollars per tonne cif Europe ) .	O O O O O O O O O O O O O O O O O O O O S-LOC O O
" They just voted along ethnic lines where they could . "	O O O O O O O O O O O O
3/4 - Qiang Hong / Liu Lu ( China ) 10-15 17-14 17-16	O O B-PER E-PER O B-PER E-PER O S-LOC O O O O
Petra Langrova ( Czech Republic ) beat Karina Adams ( U.S. ) 6-4 6-2	B-PER E-PER O B-LOC E-LOC O O B-PER E-PER O S-LOC O O O
The judge in the civil trial has imposed a sweeping gag order that prohibits lawyers , witnesses and parties to the case from discussing it with the media or elsewhere in public .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
7 ( 151 ) Melbourne 11.12 ( 78 )	O O O O O O O O O
CALIFORNIA AT BALTIMORE	O O S-LOC
Yeltsin on holiday from Monday - Interfax .	S-PER O O O O O O O
1965 - Albert Schweitzer , theologian , philosopher and organist died in Gabon where he had set up a hospital in 1913 .	O O B-PER E-PER O O O O O O O O S-LOC O O O O O O O O O O
133 Ricky Willison 69 64 , Stephen Ames ( Trinidad and Tobago )	O B-PER E-PER O O O B-PER E-PER O B-LOC I-LOC E-LOC O
Reuters has not verified these stories and does not vouch for their accuracy .	O O O O O O O O O O O O O O
- Syrian armoured columns on the move in Lebanon .	O S-MISC O O O O O O S-LOC O
Filippo Veglio ( Switzerland ) beat Christian Ruud ( Norway ) 1-6 6	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O
Opener Gooch 's decision comes towards the end of a season in which he has underlined his consistency by becoming the leading scorer in Essex 's history , beating Keith Fletcher 's aggregate of 29,434 .	O S-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PER E-PER O O O O O
ST LOUIS AT HOUSTON	O O O S-LOC
The bank earlier warned that profit growth would slow in the second half , citing the increasing momentum in profit growth in the comparative period of 1995 and increased investment .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Share 0.86 1.05 1.59 1.02	O O O O O
The ailing Yassin is the spiritual leader of the fundamentalist Hamas group which has killed scores of Israelis in suicide attacks aimed at wrecking Israel-PLO peace deals .	O O S-PER O O O O O O O O O O O O O O S-MISC O O O O O O S-MISC O O O
The Pirates , who conceded earlier this week they would be forced to trim salary from next season 's payroll , received Ron Wright , a first baseman at Double-A Greenville ; Corey Pointer , a pitcher at Class-A Eugene , and a player to be named .	O O O O O O O O O O O O O O O O O O O O O O B-PER E-PER O O O O O O O O B-PER E-PER O O O O O O O O O O O O O O
" In the run-up to elections , nationalistic political leaders are playing the ethnic / sectarian card , drumming up support within their constituencies by playing on bitter memories or fear . "	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
- total order book - 10 - 22 - 13 - 17	O O O O O O O O O O O O
If	O
" I 'd already had three local breeders have a look at them and sent photos and videos of the birds to the eastern states for authentication -- they said they 're nice birds , " Drew told reporters outside court .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O S-PER O O O O O
Endt told Dutch news agency ANP that Blind , 35 , would no longer be available for selection for the national squad .	S-PER O S-MISC O O O O S-PER O O O O O O O O O O O O O O O
Some 27 people were rescued from the private jail set up by the police .	O O O O O O O O O O O O O O O
Jack Russell 2 3 1 51 41no 25.50	B-PER E-PER O O O O O O
" They were pretty much in line with our estimate of 1.210 billion , " said Peter Roe , at Paribas in London . "	O O O O O O O O O O O O O O O O B-PER E-PER O O O O S-LOC O O
Attendance 5,696 .	O O O
It was the first known time that a police officer has been president at the suicide of one of Kevorkian 's patients .	O O O O O O O O O O O O O O O O O O O S-PER O O O
Scott Draper ( Australia ) beat Galo Blanco ( Spain ) 6-3 7-5 6-3	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O O
On Wednesday Norman described this year as his worst on the professional circuit since 1991 , when he failed to win a tournament .	O O S-PER O O O O O O O O O O O O O O O O O O O O O
7. Max van Heeswijk ( Netherlands ) Motorola 28	O B-PER I-PER E-PER O S-LOC O O O
Chonnam 0 2 1 4 5 2	O O O O O O O
+5 Wayne Westner ( South Africa ) 77 68	O B-PER E-PER O B-LOC E-LOC O O O
played , won , drawn , lost , goals for , goals against , points ) :	O O O O O O O O O O O O O O O O O
3. Hever Golf Rose 11-4 ( Jason Weaver )	O B-PER I-PER E-PER O O B-PER E-PER O
9. Michael Andersson ( Sweden ) Telekom 54	O B-PER E-PER O S-LOC O O O
Export Business - Grain / oilseeds complex .	O O O O O O O O
A. Flower lbw b Flemming 0	B-PER E-PER O O S-PER O
Lotte 43 5 52 .455 15 1/2	O O O O O O O
seedings :	O O
Batistuta gave Fiorentina the lead in the 11th minute .	S-PER O O O O O O O O O
NEW YORK 74 54 .578 -	O O O O O O
Standings ( ( tabulated under played , won , drawn , lost , goals	O O O O O O O O O O O O O O
The aircraft was hijacked on a flight from Khartoum to Amman by six or seven men , who police say may be Iraqis .	O O O O O O O O S-LOC O S-LOC O O O O O O O O O O O S-MISC O
The ruling meant that serie B club Genoa now meet local serie A arch-rivals Sampdoria in the second round .	O O O O O O O O O O O B-MISC E-MISC O O O O O O O
The ministry said it believed the new limits could be met with existing aircraft . "	O O O O O O O O O O O O O O O O
Sheffield 22 10 0 12 599 730 20	O O O O O O O O
But the driver 's wife kept her nerve , got out her camera and photographed him .	O O O O O O O O O O O O O O O O O
PRESS DIGEST - Iraq - Aug 24 .	O O O S-LOC O O O O
Bulgarians recover 75 pct of confiscated land .	S-MISC O O O O O O O
The BOJ governor has made it clear that the BOJ 's policy is aimed at ensuring basis for economic recovery .	O O O O O O O O O O O O O O O O O O O O O
Essex are set to step up their English county championship challenge with a fifth consecutive victory after new-ball pair Neil Williams and Mark Ilott sent Gloucestershire reeling on Saturday .	O O O O O O O S-MISC O O O O O O O O O O O B-PER E-PER O B-PER E-PER O O O O O O
Hampshire 105-4 .	O O O
No closures of airports due to bad weather are expected in the Commonwealth of Independent States on August 28 and August 29 , the Russian Weather Service said on Tuesday .	O O O O O O O O O O O O B-LOC I-LOC I-LOC E-LOC O O O O O O O O O O O O O O O
SYDNEY 1996-08-28	S-LOC O
soccer matches on Wednesday :	O O O O O
" We oppose any privatization that hurts workers ' welfare and does not take into account its social impact , " they said .	O O O O O O O O O O O O O O O O O O O O O O O O
WESTERN DIVISION	B-MISC E-MISC
-- Prague Newsroom , 42-2-2423-0003	O O O O O
Chonan 2 0 1 9 9 6	O O O O O O O
HK 's Tsang to visit Indonesia , New Zealand .	S-LOC O S-PER O O S-LOC O B-LOC E-LOC O
Turkish Kurd guerrillas said on Friday they would free seven Turkish soldiers they hold in northern Iraq under a tentative Islamist peace bid .	B-MISC E-MISC O O O O O O O O S-MISC O O O O O S-LOC O O O S-MISC O O O
The American , who finished fourth at the Atlanta Games , was fast out of his blocks and held off Bailey 's late burst in the final 20 metres before heading off for a lap of celebration .	O S-MISC O O O O O O B-MISC E-MISC O O O O O O O O O O S-PER O O O O O O O O O O O O O O O O O
Constitutional reforms were proposed on Tuesday by two senators , one of them a member of Samper 's own Liberal Party , aimed at lifting the ban on extradition introduced in 1991 .	O O O O O O O O O O O O O O O O S-PER O O O O O O O O O O O O O O O O
Hong Kong , a British colony for more than 150 years , will be handed back to China at midnight on June 30 next year .	B-LOC E-LOC O O S-MISC O O O O O O O O O O O O S-LOC O O O O O O O O
Tony Gwynn and Wally Joyner had two hits apiece , helping the Padres to their third straight win .	B-PER E-PER O B-PER E-PER O O O O O O O O O O O O O O
7. Marty Jemison ( U.S. ) U.S. Postal	O B-PER E-PER O S-LOC O O O
- The Irish Department of Enterprise and Employment has widened its probe into Taylor Asset Managers to include the investigation of investments of 10 more investors .	O O O O O O O O O O O O O O O O O O O O O O O O O O O
Puchon 0 Suwon 0 ( halftime 0-0 )	O O O O O O O O
1. Slight 283 points	O S-PER O O
6. Sunday Bada ( Nigeria ) 45.21	O B-PER E-PER O S-LOC O O
According to a new release from the governor , Wisconsin submitted a plan to the U.S. Department of Health and Human Services for administration of the new block grant system for welfare just minutes after President Bill Clinton signed the measure into law Thursday .	O O O O O O O O O S-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O B-PER E-PER O O O O O O O
While the world heaps honours on her and even regards her as a living saint , the nun of Albanian descent maintains she is merely doing God 's work .	O O O O O O O O O O O O O O O O O O O S-MISC O O O O O O S-PER O O O
Penrose had been working for the charity which provides food to civilians for only a few weeks before he was captured .	S-PER O O O O O O O O O O O O O O O O O O O O O
NAC Breda 1 Sparta Rotterdam 0	O O O O O O
Palestinians accuse PA of banning books .	S-MISC O O O O O O
CALIFORNIA AT NEW YORK	O O B-LOC E-LOC
Sri Lanka - Arjuna Ranatunga ( captain ) , Sanath Jayasuriya , Romesh Kaluwitharana , Asanka Gurusinha , Aravinda de Silva , Hashan Tillekeratne , Roshan Mahanama , Kumara Dharmasena , Chaminda Vaas , Muthiah Muralitharan , Ravindra Pushpakumara .	B-LOC E-LOC O B-PER E-PER O O O O B-PER E-PER O B-PER E-PER O B-PER E-PER O B-PER I-PER E-PER O B-PER E-PER O B-PER E-PER O B-PER E-PER O B-PER E-PER O B-PER E-PER O B-PER E-PER O
-- Chicago Newsdesk 312-408-8787	O O O O
In proposing the rules last year , the SEC noted that while technology has improved , commonplace practices still existed that worked against investors ' best interests .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Torpedo Moscow 25 8 9 8 31 33 33	O O O O O O O O O
Adelaide 14.12 ( 96 ) Collingwood 24 .	O O O O O O O O
Interacciones kept its 1996 and 1997 inflation forecast unchanged at 26 percent and 20 percent , expecting the government 's 1997 inflation target to be around 15 percent .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Williams ( 5-12 ) , who snapped a personal three-game losing streak , allowed five hits , walked two and struck out five .	S-PER O O O O O O O O O O O O O O O O O O O O O O O
Adelaide 21 8 0 13 2158 2183 98.9 32	O O O O O O O O O
CHICAGO 70 64 .522 10	O O O O O
One Taibe supporter required hospital treatment for cuts and bruises after a stone struck his head as he was driving from the stadium .	O O O O O O O O O O O O O O O O O O O O O O O O
2. England 8.61	O S-LOC O
But Yeltsin 's spokesman rebuffed the suggestion , saying the president had left Moscow for a holiday near the capital .	O S-PER O O O O O O O O O O O S-LOC O O O O O O O
" Coming just a million guilders under the forecast range is n't overwhelmingly surprising , " said ING analyst Steven Vrolijk , who is continuing to look for a nine to 10 percent rise in 1996 earnings .	O O O O O O O O O O O O O O O O O O O B-PER E-PER O O O O O O O O O O O O O O O O O
We stay in Manhattan and it 's a long way to come .	O O O S-LOC O O O O O O O O O
COUPON 2.95 % ISS PRICE MATURITY 5 .	O O O O O O O O
Trade ( bln pts ) May - 196.8 - 180.6 - 279.9 - -	O O O O O O O O O O O O O O
A post-mortem report suggested he might have been tortured .	O O O O O O O O O O
NEW YORK 1996-08-26	B-LOC E-LOC O
Masterkova dominated the middle-distance races at the recent Atlanta Games following her return to competition this season after a three-year maternity break .	S-PER O O O O O O O B-MISC E-MISC O O O O O O O O O O O O O
" The girls said they went to Belgium voluntarily and the police suspect that they were used to act in pornographic films . "	O O O O O O O S-LOC O O O O O O O O O O O O O O O O
But analysts noted that Sierra still has much painful work ahead of it , including cutting as many as 150 jobs from its workforce , which currently has 500 people , and building up the business of its PMC-Sierra unit , which makes routing devices and chipsets for high-speed computer networks .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Chuck Finley ( 12-12 ) snapped a four-game losing streak .	B-PER E-PER O O O O O O O O O
Unbeaten in four matches , they still trail leaders Lens by one point .	O O O O O O O O O O O O O O
MINNESOTA AT TORONTO	O O S-LOC
Samuel Graham , who told his family earlier that he was nervous about starting at a new school because he feared teasing about his weight problem , had been due to spend his first day at Parkway Middle School Monday , police said .	B-PER E-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The 26-year-old Brazilian had risen into the top 30 in 1992 .	O O S-MISC O O O O O O O O O
Wijaya Indra ( Indonesia ) beat 5/8 - Pang Chen ( Malaysia ) 15-6	B-PER E-PER O S-LOC O O O O B-PER E-PER O S-LOC O O
Result of Dutch first division	O O S-MISC O O
BOSTON 6 Seattle 4	O O O O
Hyundai 5 Samsung 4	O O O O
But such an appeal , even if the court were to accept the case , which it is not obliged to do , would not suspend enforcement of the French judgement against him .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O S-MISC O O O O
A South African boy is writing back to an American girl whose message in a bottle he found washed up on President Nelson Mandela 's old prison island .	O B-MISC E-MISC O O O O O O S-MISC O O O O O O O O O O O O B-PER E-PER O O O O O
0 Steve Jones through 7	O B-PER E-PER O O
- Coopers and Lybrand emigrates to Basque Country for fiscal reasons	O O O O O O B-LOC E-LOC O O O
Alex Rodriguez had two homers and four RBI for the Mariners , who have dropped three in a row and 11 of 15 .	B-PER E-PER O O O O O S-MISC O O O O O O O O O O O O O O O O
Russian President Boris Yeltsin began a new summer holiday on Monday but would remain in control of affairs of state , Interfax news agency said .	S-MISC O B-PER E-PER O O O O O O O O O O O O O O O O O O O O O O
3. Sven Teutenberg ( Germany ) U.S. Postal	O B-PER E-PER O S-LOC O O O
Argentine July raw steel output up 14.8 pct vs ' 95 .	S-MISC O O O O O O O O O O O
NOTE - Orii Corp makes automation equipment .	O O O O O O O O
TYPE FRN BASE 3M LIBOR PAY DATE S23.SEP.96	O O O O O O O O
Sierra 's stock has fallen from a high of nearly $ 25 this year as the computer chip sector has been battered by falling prices and concern about slowing demand .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Shanghai Ek Chor opens new motorcyle plant .	O O O O O O O O
MILAN 1996-08-25	S-LOC O
( BILLIONS OF DLRS )	O O O O O
" We are in the late stages of the weaker period of the market , and as we get to the post Labor Day market we will start to see more consumer interest and the demand side of the market will start to firm prices up , " said William O'Neill of Merrill Lynch .	O O O O O O O O O O O O O O O O O O O O O O B-MISC E-MISC O O O O O O O O O O O O O O O O O O O O O O O O O B-PER E-PER O O O O
2-0 .	O O
Hurte Sierd Zylstra and his wife , Jetsi Hendrika Coers , both 50 years old , were seized late on Saturday or early on Sunday from a teak tree plantation they manage by at least two heavily armed men who took the two off in their own car , leaving behind a ransom note demanding $ 1.5 million .	B-PER I-PER E-PER O O O O B-PER I-PER E-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
-- Amsterdam newsroom +31 20 504 5000 , Fax +31 20 504 5040	O S-LOC O O O O O O O O O O O
1. Williams 149 points	O O O O
The Catholic Information Office said the SPLA in the Kenyan capital had attributed the detentions of the six to a local commander and had promised they would be freed by August 23 .	O O O O O O O O O S-MISC O O O O O O O O O O O O O O O O O O O O O O O
Chelsea makes political debut on Clinton train trip .	S-PER O O O O S-PER O O O
Nicolas Lapentti ( Ecuador ) vs. Alex O'Brien ( U.S. )	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O
MINNESOTA 65 66 .496 13	O O O O O
Vojvodina 2 2 0 0 4 1 6	O O O O O O O O
Dutch soccer captain Danny Blind has decided to end his international career , Ajax spokesman David Endt said on Sunday .	S-MISC O O B-PER E-PER O O O O O O O O O O B-PER E-PER O O O O
Grozny quiet overnight after raids .	S-LOC O O O O O
" Obviously we are interested in this research .	O O O O O O O O O
Hentgen ( 17-7 ) surrendered just three doubles and a pair of singles in tossing his major-league leading ninth complete game .	S-PER O O O O O O O O O O O O O O O O O O O O O
Implats posted year attributable profit of 176 million rand from 281 million previously .	O O O O O O O O O O O O O O
Juventude 2 Internacional 1	O O O O
Storm kills 11 at Macedonian religious festival .	O O O O S-MISC O O O
It did not report any casualties .	O O O O O O O
TORONTO 61 69 .469 14	O O O O O
Snoozing Vietnamese man takes slow train to Alaska .	O S-MISC O O O O O S-LOC O
Todd Woodbridge ( Australia ) vs. qualifier	B-PER E-PER O S-LOC O O O
Rostislav Khotin	B-PER E-PER
An Amtrak train struck a logging truck early on Tuesday and derailed , Vermont state police said .	O O O O O O O O O O O O O S-LOC O O O O
Attendance : 25,000	O O O
- 3 Steve Stricker through 3	O O B-PER E-PER O O
and 231-7 ( N. Speak 77 , N. Fairbrother 55 ; D. Gough 4-48 ) .	O O O B-PER E-PER O O B-PER E-PER O O B-PER E-PER O O O
Leading results in the	O O O O
The April arrests were announced shortly after a row in which Tehran asked Ankara to withdraw four Turkish diplomats accused of spying , and Turkey expelled four Iranian diplomats for their alleged links to killings of Iranian exiles .	O O O O O O O O O O O S-LOC O S-LOC O O O S-MISC O O O O O O S-LOC O O S-MISC O O O O O O O O S-MISC O O
Gazprom has also tightened the rules restricting shareholers ' rights to trade its shares .	O O O O O O O O O O O O O O O
matches to nil ( with times for the last 200 metres of 11.833	O O O O O O O O O O O O O
We will take it over early next month , " he said .	O O O O O O O O O O O O O
2000 650,000	O O
Mauritius win 2-1 on aggregate	S-LOC O O O O
- Hariri to step into the election battle with an incomplete list .	O S-PER O O O O O O O O O O O
At Cardiff : Kent 255-3 ( D. Fulton 64 , M. Walker 59 , C. Hooper	O S-LOC O O O O B-PER E-PER O O B-PER E-PER O O B-PER E-PER
Second match : August 31 , Edgbaston ( Birmingham )	O O O O O O S-LOC O S-LOC O
The 285,000 bpd SRC refinery is co-owned by the Singapore Petroleum Company , British Petrolem and Caltex , the joint-venture of U.S. majors Chevron Corp and Texaco Inc .	O O O O O O O O O O O O O O O O O O O O O S-LOC O O O O O O O
2:29.34 Maria Mutola ( Mozambique ) Brussels 25.8.95	O B-PER E-PER O S-LOC O S-LOC O
