S. Korea Daewoo , Dacom units in Polish telecom JV .	B-LOC E-LOC S-ORG O S-ORG O O S-MISC O O O
In the first half , Kekkila posted a 6.1 million markka profit , up from 0.7 million .	O O O O O S-ORG O O O O O O O O O O O O
W L PCT GB	O O O O
Plymouth 3 2 1 0 8 5 7	S-ORG O O O O O O O
9. Martin Brundle ( Britain ) Jordan 1:55.385	O B-PER E-PER O S-LOC O S-ORG O
Halftime 1-0 .	O O O
Baseball games played on Wednesday ( home team in CAPS ) :	O O O O O O O O O O O O
-- Bob Janis 312-983-7347--	O B-PER E-PER O
Men 's javelin	O O O
State chief minister M. Karunanidhi has publicly welcomed the refugees , who are fleeing the 13-year war between Tamil separatists and government troops that Colombo says has cost 50,000 lives .	O O O B-PER E-PER O O O O O O O O O O O O O S-MISC O O O O O S-LOC O O O O O O
COLORADO 66 62 .516 3 1/2	S-ORG O O O O O
Last year , Bedie pardoned four journalists jailed for the same or similar offences .	O O O S-PER O O O O O O O O O O O
AL RAI	B-ORG E-ORG
The arrangement calls for investors to make additional payments to fund Equitas but also provides them with 3.2 billion stg in compensation to help reduce their prior outstanding liabilities .	O O O O O O O O O O O S-ORG O O O O O O O O O O O O O O O O O O
It allotted a further 30.9 billion to bidders putting up private paper , satisfying 12.5 percent of this demand .	O O O O O O O O O O O O O O O O O O O O
Graafschap Doetinchem 3 1 1 1 5 5 4	B-ORG E-ORG O O O O O O O
" During the last 15 days of being held , the fighting in Grozny was very close .	O O O O O O O O O O O O O S-LOC O O O O
Sunday 's Pokka 1,000 km motor race , seventh round of the	O O S-MISC O O O O O O O O O
At a hotel convention here , the party associated with the Transcendental Meditation ( TM ) movement named physicist John Hagelin as its presidential nominee for the Nov. 5 election .	O O O O O O O O O O O B-MISC E-MISC O S-MISC O O O O B-PER E-PER O O O O O O O O O O
Police Commissioner George Grech said police were investigating the possibility that Mohammed had links to an Islamic militant group as reported by the local press .	O O B-PER E-PER O O O O O O O S-PER O O O O S-MISC O O O O O O O O O
SOCCER - SCOTTISH LEAGUE RESULTS .	O O S-MISC O O O
15-8 15-12	O O
NOTE - Orii Corp makes automation equipment .	O O B-ORG E-ORG O O O O
David Nainkin ( South Africa ) beat 9 - Wayne Ferreira ( South Africa ) 6-4 6-4 2-6 7-5	B-PER E-PER O B-LOC E-LOC O O O O B-PER E-PER O B-LOC E-LOC O O O O O
BELGRADE 1996-08-29	S-LOC O
THE TIMES	B-ORG E-ORG
The study did not address whether whole garlic could affect cholesterol .	O O O O O O O O O O O O
Younis 4-95 )	S-PER O O
Cal Ripken 's bases-loaded walk scored Brady Anderson with the winning run in the bottom of the 10th as the Baltimore Orioles regained control of the top spot in the wild-card race with a wild 12-11 victory over the Oakland Athletics .	B-PER E-PER O O O O B-PER E-PER O O O O O O O O O O O O B-ORG E-ORG O O O O O O O O O O O O O O O O O B-ORG E-ORG O
Palestinian President Yasser Arafat said on Wednesday that Israel had declared war on the Palestinians and called for the first general strike in the West Bank and Gaza in two years .	S-MISC O B-PER E-PER O O O O S-LOC O O O O O S-MISC O O O O O O O O O B-LOC E-LOC O S-LOC O O O O
Testing has begun and results will be announced within the next several days , Arch said .	O O O O O O O O O O O O O O S-ORG O O
Fall of wickets : 1-64 2-85 3-116 4-205 5-248 6-273 7-283	O O O O O O O O O O O
NOTES - Bank of Spain announces balance of payments .	O O B-ORG I-ORG E-ORG O O O O O
Britain joined the United States on Thursday in welcoming Romania and Hungary 's agreement on the text of a much-delayed friendship treaty , which it said would contribute to stability in the area .	S-LOC O O B-LOC E-LOC O O O O S-LOC O S-LOC O O O O O O O O O O O O O O O O O O O O O O
-- Reuters Toronto Bureau 416 941-8100	O B-ORG I-ORG E-ORG O O
Metz 3 Strasbourg 1	S-ORG O S-ORG O
matches played at the weekend :	O O O O O O
FULL FEES 1.875 REOFFER 99.32 SPREAD +20 BP	O O O O O O O O
Now I can go to bed at at midnight or wake up at seven in the morning .	O O O O O O O O O O O O O O O O O O
" That is the plan at the moment .	O O O O O O O O O
Midfielders - Mario Basler , Marco Bode , Dieter Eilts , Steffen Freund , Thomas Haessler , Andreas Moeller , Mehmet Scholl , Thomas Strunz , Jens Todt , Christian Ziege	O O B-PER E-PER O B-PER E-PER O B-PER E-PER O B-PER E-PER O B-PER E-PER O B-PER E-PER O B-PER E-PER O B-PER E-PER O B-PER E-PER O B-PER E-PER
- Confrontation is escalating between Hizbollah and the government .	O O O O O S-ORG O O O O
Hijacked Sudan plane lands at a London airport .	O S-LOC O O O O S-LOC O O
1995 - The Fourth World Conference on Women , the biggest U.N. gathering in history , began in China 's Great Hall of the People with a U.N. declaration that sexual equality was the last great project of the 20th century .	O O O B-MISC I-MISC I-MISC I-MISC E-MISC O O O S-ORG O O O O O O S-LOC O B-LOC I-LOC I-LOC I-LOC E-LOC O O S-ORG O O O O O O O O O O O O O O
For the distribution and supervision of humanitarian supplies the United Nations estimated it needed 1,190 people , including 267 international staff and 923 Iraqi support staff .	O O O O O O O O O B-ORG E-ORG O O O O O O O O O O O O S-MISC O O O
JOHANNESBURG 1996-08-26	S-LOC O
One trader said trading in MFS options had increased steadily from about mid-August , and doubted whether any of last Friday 's activity was insider trading .	O O O O O S-ORG O O O O O O O O O O O O O O O O O O O O O
It closes on September 14 .	O O O O O O
Haarlem and Almere on Wednesday :	S-LOC O S-LOC O O O
The Canadian was second in 10.09 with Lewis third in 10.10 , ahead of Atlanta bronze medallist Ato Boldon who clocked 10.12 in fourth .	O S-MISC O O O O O S-PER O O O O O O S-LOC O O B-PER E-PER O O O O O O
First round results in the Hong	O O O O O S-MISC
TENNIS - RESULTS AT TOSHIBA CLASSIC .	O O O O B-MISC E-MISC O
Maria Jose Gaidano ( Argentina ) beat Melanie Schnell ( Austria ) 6-4 6-0	B-PER I-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O
Walsall 3 0 1 2 2 4 1	S-ORG O O O O O O O
National League	B-MISC E-MISC
CYCLING - COLONNA WINS FIRST STAGE OF TOUR OF NETHERLANDS .	O O S-PER O O O O B-MISC I-MISC E-MISC O
French central defender Antoine Kombouare has completed a 300,000 pounds sterling ( $ 467,000 ) move to Aberdeen from Swiss club Sion , the Scottish premier division club said on Friday .	S-MISC O O B-PER E-PER O O O O O O O O O O O O S-ORG O S-MISC O S-ORG O O S-MISC O O O O O O O
The Senate vote also annulled a substitute version of Dutra 's bill which had sought to dedicate revenue from Vale 's privatization to regional infrastructure projects .	O S-ORG O O O O O O O S-PER O O O O O O O O O S-ORG O O O O O O O
A third well drilled in this area , the Trax et al Morinville 2-25 , encountered the Leduc Reef but tested wet .	O O O O O O O O O B-MISC I-MISC I-MISC I-MISC E-MISC O O O B-LOC E-LOC O O O O
31. Austria 8.05	O S-LOC O
1. Ana Fidelia Quirot ( Cuba ) 1 minute 58.98 seconds	O B-PER I-PER E-PER O S-LOC O O O O O
ATLANTA 79 46 .632 -	S-ORG O O O O
Mutola looked threatening in the final 200 metres but the Russian found an extra gear to power home several strides ahead , pointing at the time on the clock with delight as she crossed the line .	S-PER O O O O O O O O O S-MISC O O O O O O O O O O O O O O O O O O O O O O O O O O
- AHOLD 7,190 1,123 10.01	O S-ORG O O O
Ratlam 10 Yellow 12,600-12,750 12,700-12,800	S-LOC O O O O
The Netherlands government has ruled out paying ransom money for a Dutch couple kidnapped from their farm , while Costa Rican authorities said on Tuesday they had no leads in the case .	B-LOC E-LOC O O O O O O O O O S-MISC O O O O O O O B-MISC E-MISC O O O O O O O O O O O O
Total ( for one wicket - 44.2 overs ) 230	O O O O O O O O O O
The Norwegian news agency NTB quoted another official on the island as saying no survivors had been found .	O S-MISC O O S-ORG O O O O O O O O O O O O O O
Shipment is for Nov 15 - Dec 10 .	O O O O O O O O O
She suffers from osteoporosis , a disease that weakens the bones , and has repeatedly flown to Washington for treatment .	O O O O O O O O O O O O O O O O O S-LOC O O O
IN-NAZZJON	S-LOC
Women 's singles	O O O
BASEBALL - BONDS ' CONSECUTIVE GAME STREAK ENDS .	O O S-PER O O O O O O
" From an earnings perspective , the current fiscal year has begun with great promise due to the hit motion picture ' Independence Day , ' " News Corp said in a statement announcing its results for the year to June 30 , 1996 .	O O O O O O O O O O O O O O O O O O O O O O B-MISC E-MISC O O O B-ORG E-ORG O O O O O O O O O O O O O O O O
Sri Lanka beat India by nine wickets in the second match of the Singer World Series one-day ( 50 overs ) cricket tournament on Monday .	B-LOC E-LOC O S-LOC O O O O O O O O O B-MISC I-MISC E-MISC O O O O O O O O O O
The shooting occured around 6.30 a.m. ( 2030 GMT ) on Tuesday at Glenwood , south of Maryborough , about 150 km ( 93 miles ) north of Brisbane on the Queensland state coast .	O O O O O O O O S-MISC O O O O S-LOC O O O S-PER O O O O O O O O O O S-LOC O O S-LOC O O O
JOHANNESBURG 1996-08-22	S-LOC O
Reuters has not verified these stories and does not vouch for their accuracy .	S-ORG O O O O O O O O O O O O O
Richmond 21 11 0 10 2173 1803 120.5 44	S-ORG O O O O O O O O
New Zealand Cricket said the Sri Lankans would play tests in Hamilton and Wellington and one-dayers in Auckland , Christchurch and Dunedin , following hard on the heels of a tour by England .	B-LOC E-LOC O O O B-MISC E-MISC O O O O S-LOC O S-LOC O O O S-LOC O S-LOC O S-LOC O O O O O O O O O O S-LOC O
It 's the biggest success for Viacom Inc-owned Paramount since 1994 's " Forrest Gump " .	O O O O O O B-MISC E-MISC S-ORG O O O O B-MISC E-MISC O O
While Mironivka 's scientists , some unpaid for months , carry on developing new strains of wheat resistant to Ukraine 's extreme continental climate , Borsuk said the lack of cash in Ukraine 's agricultural sector is as bad as the drought .	O S-ORG O O O O O O O O O O O O O O O O O S-LOC O O O O O S-PER O O O O O O S-LOC O O O O O O O O O O
The pact ends five years of hostility after Croatia 's secession from federal Yugoslavia .	O O O O O O O O S-LOC O O O O S-LOC O
Collated results of African Nations Cup preliminary round , second leg matches played at the weekend :	O O O B-MISC I-MISC E-MISC O O O O O O O O O O O
India fishermen say forced to carry Tamil refugees .	S-LOC O O O O O S-MISC O O
" They moult in the summer , so five or six months down the track , I would have looked like the guilty party , " Drew said .	O O O O O O O O O O O O O O O O O O O O O O O O O O S-PER O O
Ten people were missing after a fishing boat collided with a passenger liner and sank off China 's northeastern province of Liaoning , state radio said on Tuesday .	O O O O O O O O O O O O O O O O S-LOC O O O O S-LOC O O O O O O O
AMSTERDAM 1996-08-29	S-LOC O
Siraj Mia died at Dhaka airport on May 9 during interogation by customs officials after arriving from London .	B-PER E-PER O O S-LOC O O O O O O O O O O O O S-LOC O
M / SP / F : NA / NA / NA BOOK ENTRY : Y	O O O O O O O O O O O O O O O
In 1994 a British television documentary called the myth around Mother Teresa a mixture of " hyperbole and credulity " .	O O O S-MISC O O O O O O B-PER E-PER O O O O O O O O O
Reuters has not verified these stories and does not vouch for their accuracy .	S-ORG O O O O O O O O O O O O O
played , won , drawn , lost , goals for , goals against , points ) :	O O O O O O O O O O O O O O O O O
British Foreign Secretary Malcolm Rifkind said on Tuesday that his government would only take action against a planned conference of Islamist groups in London if British law was broken .	S-MISC O O B-PER E-PER O O O O O O O O O O O O O O O S-MISC O O S-LOC O S-MISC O O O O
In the first seven months of 1996 , shipments of copper sheet , coil and strip were 2.2 percent ahead of the same period last year .	O O O O O O O O O O O O O O O O O O O O O O O O O O O
In Toronto , Pat Hentgen tossed a five-hitter for his fifth consecutive complete game and three players drove in two runs apiece as the Toronto Blue Jays defeated the Minnesota Twins 6-1 for their ninth win in 11 games .	O S-LOC O B-PER E-PER O O O O O O O O O O O O O O O O O O O B-ORG I-ORG E-ORG O O B-ORG E-ORG O O O O O O O O O
Last week 's submissions to the commission by the ANC , de Klerk 's National Party and the right-wing Freedom Front of General Constand Viljoen left many South Africans unsatisfied .	O O O O O O O O O S-ORG O B-PER E-PER O B-ORG E-ORG O O O B-ORG E-ORG O O B-PER E-PER O O B-MISC E-MISC O O
SEOUL 1996-08-29	S-LOC O
PRESS DIGEST - MOZAMBIQUE - AUGUST 26 .	O O O S-LOC O O O O
PITTSBURGH AT HOUSTON	S-ORG O S-LOC
NUREMBERG , Germany 1996-08-28	S-LOC O S-LOC O
- SPEECH / 96 / 202 : Speech by European Commissioner Anita Gradin at the World Congress against Sexual Exploitation of Children in Stockholm .	O O O O O O O O O S-MISC O B-PER E-PER O O B-MISC I-MISC I-MISC I-MISC I-MISC I-MISC E-MISC O S-LOC O
They have not lifted a European Trophy since 1991 when they beat Barcelona in the Cup Winners ' Cup final , and their one and only European Cup triumph was way back in 1968 , when they beat Benfica of Portugal 4-1 at Wembley .	O O O O O B-MISC E-MISC O O O O O S-ORG O O B-MISC I-MISC I-MISC E-MISC O O O O O O O B-MISC E-MISC O O O O O O O O O O S-ORG O S-LOC O O S-LOC O
Swedish options and derivatives exchange OM Gruppen AB said on Thursday it would open an electronic bourse for forest industry products in London in the first half of 1997 .	S-MISC O O O O B-ORG I-ORG E-ORG O O O O O O O O O O O O O O S-LOC O O O O O O O
( Marseille ) , Robert Pires ( Metz ) , Thierry Henry ( Monaco )	O S-ORG O O B-PER E-PER O S-ORG O O B-PER E-PER O S-ORG O
CHICAGO 1996-08-22	S-LOC O
W L PCT GB	O O O O
Fortuna Sittard 2 Heerenveen 4	B-ORG E-ORG O S-ORG O
Use of Proceeds : Research , preclinical and clinical product development , and general corporate purposes .	O O O O O O O O O O O O O O O O O
St George 20 North Queensland 24	B-ORG E-ORG O B-ORG E-ORG O
Def .	O O
Borac 3 0 0 3 0 8 0	S-ORG O O O O O O O
The soldier was subsequently pardoned .	O O O O O O
Algerian security forces have shot dead three Moslem guerrillas suspected of killing a leading French bishop in western Algeria , the Algerian state-run television said on Thursday .	S-MISC O O O O O O S-MISC O O O O O O S-MISC O O O S-LOC O O S-MISC O O O O O O
Muenster / Osnabrueck 382 up 28.2	S-LOC O S-LOC O O O
+1 Fred Funk through 9	O B-PER E-PER O O
But Gcaleka ran into trouble as soon as he returned to South Africa with a skull he found in a cottage in a lonely Highland forest near Inverness .	O S-PER O O O O O O O O O B-LOC E-LOC O O O O O O O O O O O S-LOC O O S-LOC O
Russia 's Svetlana Samokhalova fought off a spirited challenge from American Jane Quigley to take the title for a second year .	S-LOC O B-PER E-PER O O O O O O S-MISC B-PER E-PER O O O O O O O O O
Earlier , Newcrest reported a drop in net profit after abnormals to A$ 20.81 million for the year from A$ 42.4 million the previous year .	O O S-ORG O O O O O O O O O S-MISC O O O O O O S-MISC O O O O O O
Today , and every day , the Brady Law is stopping an estimated 85 felons from buying a handgun , " Mrs. Brady said .	O O O O O O O B-MISC E-MISC O O O O O O O O O O O O O S-PER O O
- Cabinet puts off decision on foreign workers .	O O O O O O O O O
BASEBALL - ORIOLES ' MANAGER DAVEY JOHNSON HOSPITALIZED .	O O S-ORG O O B-PER E-PER O O
A club statement said : " The directors of Raith Rovers FC invited Jimmy Thomson to relinquish the post of manager and to resume his former position as youth team coach .	O O O O O O O O O B-ORG I-ORG E-ORG O B-PER E-PER O O O O O O O O O O O O O O O O O
- 1 Justin Leonard through 3	O O B-PER E-PER O O
He is Ajax 's sixth new signing this year , joining midfielder Richard Witschge , defenders John Veldman and Mariano Juan and strikers Tijjani Babangida and Dani .	O O S-ORG O O O O O O O O O B-PER E-PER O O B-PER E-PER O B-PER E-PER O O B-PER E-PER O S-PER O
for , goals against , points ) :	O O O O O O O O
-- Joyce Liu ( 2-5080815 )	O B-PER E-PER O O O
Tatran Presov 4 3 1 0 5 0 10	B-ORG E-ORG O O O O O O O
LA VOIE	B-ORG E-ORG
Played Sunday :	O O O
The government had been threatening to fire the workers since the strike began on Tuesday , saying it was illegal .	O O O O O O O O O O O O O O O O O O O O O
Note : 77 players to complete their first rounds on Thursday	O O O O O O O O O O O
He also manages and occasionally plays for one of the leading local soccer teams .	O O O O O O O O O O O O O O O
Those taking part were told to eat a low-fat diet for six weeks before they started taking the pills , and their blood cholesterol measured before and after the six-week period .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
" He was not involved ...	O O O O O O
The England cricket squad was announced on Sunday for the one-day international series against Pakistan starting on Thursday .	O S-LOC O O O O O O O O O O O O S-LOC O O O O
Roda JC Kerkrade 3 0 3 0 3 3 3	B-ORG I-ORG E-ORG O O O O O O O
6 ( 36 )	O O O O
But they are also campaigning on broader issue such as stopping the government road building programme and out-of-town superstores which they say create more traffic , pollution and damage local communities .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
U.N. official Ekeus heads for Baghdad .	S-ORG O S-PER O O S-LOC O
The anti-graft body was discussing the case with the Thai government , especially the suspect 's status , it said .	O O O O O O O O O S-MISC O O O O O O O O O O O
" It was about time for the Indians , the blacks and the mixed-bloods to begin eating in the palace with their president because this is not a palace exclusively for the potentates and ambassadors and protocol , " Bucaram said late on Thursday .	O O O O O O O S-MISC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O S-PER O O O O O
Bradford 22 17 0 5 767 409 34	S-ORG O O O O O O O
He told the Bengali newspaper Banglabazar Patrika on Tuesday that such threats were possibly coming from " those who want to push the country into chaos and unrest . "	O O O S-MISC O B-ORG E-ORG O O O O O O O O O O O O O O O O O O O O O O O
Men 's singles	O O O
It will also boost both countries ' chances of admission to NATO and the European Union .	O O O O O O O O O O O S-ORG O O B-ORG E-ORG O
In one letter , a black soldier heading South wrote his wife , " though great is the present national difficulties yet I look forward to a brighter day when I shall have the oportunity of seeing you in the full enjoyment of freedom .	O O O O O O O O S-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Britain gave 8.5 million pounds ( $ 13 million ) to Montserrat , which is one of its dependent territories , when the volcano first became active .	S-LOC O O O O O O O O O O S-LOC O O O O O O O O O O O O O O O O
MOODY AA1 LISTING LUX PAY FREQ =	O O O O O O O
D. Cork c Moin Khan b Waqar Younis 0	B-PER E-PER O B-PER E-PER O B-PER E-PER O
NEW YORK 5,710.53 - 22.94 5,778.00 5,032.94	B-LOC E-LOC O O O O O
We will be guests of the Kennedys , " said Frank Quilter , one of the two who have been invited to Chicago .	O O O O O O S-PER O O O B-PER E-PER O O O O O O O O O O S-LOC O
- Mohib Textile Mills has defaulted to nearly 23 development finance institutions , foreign and local banks , leasing companies and modarabas ( Islamic mutual funds ) .	O B-ORG I-ORG E-ORG O O O O O O O O O O O O O O O O O O O S-MISC O O O O
CYCLING - BUGNO CLEARED OF DOPING .	O O S-PER O O O O
The Colorado attorney general told Lloyd 's last week it was considering a new legal action against the British insurance market , based on allegations of consumer fraud .	O S-LOC O O O B-ORG E-ORG O O O O O O O O O O O S-MISC O O O O O O O O O O
Tass said the weapons and the practical implementation of the ceasefire signed by Lebed and Maskhadov last Thursday would be on the agenda of today 's talks .	S-ORG O O O O O O O O O O O O S-PER O S-PER O O O O O O O O O O O O
Results of semi-final round games played on late Sunday in the Philippine Basketball Association second conference , which includes American players :	O O O O O O O O O O O B-ORG I-ORG E-ORG O O O O O S-MISC O O
China estimates 35 million Chinese were killed or wounded by invading Japanese troops from 1931 to 1945 .	S-LOC O O O S-MISC O O O O O O S-MISC O O O O O O
Talbott , the second-ranking State Department official , was to meet Russian Deputy Foreign Minister Georgy Mamedov as part of a regular pattern of consultations , the department said .	S-PER O O O B-ORG E-ORG O O O O O S-MISC O O O B-PER E-PER O O O O O O O O O O O O O
" But there is a significant influence of opposition parties that are collecting points ahead of coming elections . "	O O O O O O O O O O O O O O O O O O O O
Surprise second seed Michael Chang , ranked third in the world , opens against Czech Daniel Vacek , while women 's second seed Monica Seles drew American Anne Miller as her first victim .	O O O B-PER E-PER O O O O O O O O O S-MISC B-PER E-PER O O O O O O B-PER E-PER O S-MISC B-PER E-PER O O O O O
Plus there was the knock-on cost of lost production and extra security in future . "	O O O O O O O O O O O O O O O O
AMSTERDAM 1996-08-26	S-LOC O
German riot police made Nazi gestures at a private function earlier this month and may face dismissal for their actions , the Bavarian Interior Ministry said on Wednesday .	S-MISC O O O S-MISC O O O O O O O O O O O O O O O O O S-MISC B-ORG E-ORG O O O O
Scorers :	O O
G. Thorpe lbw b Mohammad Akram 54	B-PER E-PER O O B-PER E-PER O
MILAN 1996-08-27	S-LOC O
5. Brigita Bukovec ( Slovakia ) 12.95	O B-PER E-PER O S-LOC O O
For Sept 20 - Oct 10 : 19,500 of DNS at $ 212.25 , 10,000 of HRW at $ 204.74 , 4,500 of WW at $ 199.71 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Dealers said technically , the index should see good support at 20,300 and the upside should be capped at 21,000 .	O O O O O O O O O O O O O O O O O O O O O
Shortly after Ijaz was also back in the pavilion for 48 after Irani had repaid Mullally with another good catch at long-on .	O O S-PER O O O O O O O O O S-PER O O S-PER O O O O O O O
Belgian media speculated that Dutroux , charged with abduction and illegal imprisonment of children , must have had high level protection to molest youngsters .	S-MISC O O O S-PER O O O O O O O O O O O O O O O O O O O O
2. Lombardi 1 second behind	O S-PER O O O
metres world record ( tabulated under time , name / nationality ,	O O O O O O O O O O O O
VNU details first-half operating profits .	S-ORG O O O O O
With Takeda out of the race , Kocinski regained second place but he could not overtake Aoki .	O S-PER O O O O O S-PER O O O O O O O O S-PER O
Baltimore has won seven of nine and 16 of its last 22 and cut the Yankees ' lead in the A.L. East to five games .	S-LOC O O O O O O O O O O O O O O S-ORG O O O O B-MISC E-MISC O O O O
Pusan 0 1 0 0 2 1	S-ORG O O O O O O
Played Friday :	O O O
CHICAGO 64 64 .500 4	S-ORG O O O O
which we expect at the beginning of next year , " Grabowksi said .	O O O O O O O O O O O S-PER O O
Senator Dianne Feinstein , a California Democrat , called it a " big bump " in the way of the Clinton campaign .	O B-PER E-PER O O S-LOC S-MISC O O O O O O O O O O O O O S-PER O O
SAN FRANCISCO 54 73 .425 15	B-ORG E-ORG O O O O
Sturm Graz 6 2 3 1 8 5 9	B-ORG E-ORG O O O O O O O
ANKARA 1996-08-26	S-LOC O
Gore said .	S-PER O O
PARIS 1996-08-24	S-LOC O
BALTIMORE 68 60 .531 6	S-ORG O O O O
Total ( in billion rupiah ) 38.43 218.50	O O O O O O O O
Samsung 47 5 55 .463 15	S-ORG O O O O O
2:28.98 Svetlana Masterkova ( Russia ) Brussels 23.8.96	O B-PER E-PER O S-LOC O S-LOC O
West Coast 24 .	B-ORG E-ORG O O
Britain 's Chris Boardman fulfilled his prediction that he would break the world 4,000 metres world record in the world track cycling championships on Wednesday .	S-LOC O B-PER E-PER O O O O O O O O O O O O O O O O O O O O O O
10-15 15-5 15-11	O O O
Jeremy Lovell	B-PER E-PER
He said a document would be completed in an hour 's time for signature by the two sides , who were working on a " day-by-day schedule to stop the war in Chechnya . "	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O S-LOC O O
AD-DIYAR	S-ORG
It quoted the lawyer of Gianfranco Stevanin as saying the 35-year-old farmer confessed on Friday to a Verona magistrate that he had killed and mutilated the women .	O O O O O B-PER E-PER O O O O O O O O O O S-LOC O O O O O O O O O O
A top judicial official and critic of President Ernesto Samper accused the government of indifference on Wednesday over efforts to lift Colombia 's five-year-old ban on extradition .	O O O O O O O O B-PER E-PER O O O O O O O O O O O S-LOC O O O O O O
matches on Saturday :	O O O O
PARIS 1996-08-22	S-LOC O
Aamir Sohail 2 3 1 77 46 38.50	B-PER E-PER O O O O O O
- Israeli President Weizman invited Palestinian President Arafat to meet him at his private residence .	O S-MISC O S-PER O S-MISC O S-PER O O O O O O O O
Industry analysts Bloomsbury Minerals Economics ( BME ) said on Wednesday the motivation of the owners of the 85,000 tonnes , " whoever they are , is the most important short-term fundamental " in an already tight world market .	O O B-ORG I-ORG E-ORG O S-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
VanLandingham ( 8-13 ) , who entered the game with one complete game in the first 56 starts of his career , limited the Phillies to two hits and two walks with four strikeouts .	S-PER O O O O O O O O O O O O O O O O O O O O O O O S-ORG O O O O O O O O O O
Portuguese champions Porto kicked off the season with a disappointing 2-2 home draw against Setubal and were lucky to squeeze in an equaliser in extra time .	S-MISC O S-ORG O O O O O O O O O O O S-ORG O O O O O O O O O O O O
" Before when I was on tour , I always felt I had to be in bed by 9:30 or 10 o'clock and I had to be up at a certain time , " Rafter said . "	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O S-PER O O O
ATHLETICS - MITCHELL UPSTAGES TRIO OF OLYMPIC SPRINT CHAMPIONS .	O O S-PER O O O S-MISC O O O
Sales 26.00 26.70	O O O
Shr C$ 0.12 C$ 0.15	O S-MISC O S-MISC O
Caen 1 Lyon 1	S-ORG O S-ORG O
Two security officials and two state-paid village guards were killed in the fighting with Kurdistan Workers Party ( PKK ) guerrillas , the agency quoted the emergency rule governor 's office as saying .	O O O O O O O O O O O O O O B-ORG I-ORG E-ORG O S-ORG O O O O O O O O O O O O O O O
The arrests followed a tip-off from a married couple who unexpectedly showed up at investigators ' offices on Wednesday . "	O O O O O O O O O O O O O O O O O O O O O
St Pauli 0 .	B-ORG E-ORG O O
+7 Satoshi Higashi ( Japan ) through 16	O B-PER E-PER O S-LOC O O O
DUBAI 1996-08-26	S-LOC O
* Red Lion Hotels Inc says it 's holding merger talks with Doubletree Corp .	O B-ORG I-ORG I-ORG E-ORG O O O O O O O B-ORG E-ORG O
MADRID 1996-08-28	S-LOC O
I got the good part of the bat on it and it carried out . "	O O O O O O O O O O O O O O O O
Shane Reynolds ( 16-6 ) fired a five-hitter , walking one and striking out six .	B-PER E-PER O O O O O O O O O O O O O O
The merger will add to both companies ' historical leadership in infusion therapy and technology-based drug delivery devices , they said .	O O O O O O O O O O O O O O O O O O O O O O
American League	B-MISC E-MISC
But Julia Carling , a television presenter , is said to have blamed Diana for the problems in her marriage and she has repeatedly mocked the princess on her breakfast television programme .	O B-PER E-PER O O O O O O O O O O S-PER O O O O O O O O O O O O O O O O O O O
SOCCER - PSV BEAT GRONINGEN 4-1 TO PULL AWAY FROM AJAX .	O O S-ORG O S-ORG O O O O O S-ORG O
Felicia Ballanger of France confirmed her status as the world 's number one woman sprinter when she retained her title at the world cycling championships on Friday .	B-PER E-PER O S-LOC O O O O O O O O O O O O O O O O O O O O O O O O
CENTRAL DIVISION	B-MISC E-MISC
Widzew Lodz 3 Ruch Chorzow 0	B-ORG E-ORG O B-ORG E-ORG O
ATLANTA 82 49 .626 -	S-ORG O O O O
Gloria Bistrita ( Romania ) beat 2-1 ( halftime 1-1 ) F.C. Valletta ( Malta ) in their Cup winners Cup match , second leg of the preliminary round , on Thursday .	B-ORG E-ORG O S-LOC O O O O O O O B-ORG E-ORG O S-LOC O O O B-MISC I-MISC E-MISC O O O O O O O O O O O O
BRASILIA 1996-08-27	S-LOC O
I am not a doctor but I think he is doing all right , " said Smirnov .	O O O O O O O O O O O O O O O O S-PER O
The rally made a winner out of reliever Willie Blair	O O O O O O O O B-PER E-PER
Czech Republic 's Havel to tour Brazil in September .	B-LOC E-LOC O S-PER O O S-LOC O O O
MON Primedia YR EPS N / A 149.1	O S-ORG O O O O O O
Net 170 million 170 million 142 million	O O O O O O O
He also said Franny Weld 's best friend , Tracy Roosevelt , might have something to do with her politics .	O O O B-PER E-PER O O O O B-PER E-PER O O O O O O O O O O
The joint venture has two motorcycle plants making Xingfu motorcycles and aims to be China 's biggest producer by the year 2000 , with output of two million units .	O O O O O O O O S-MISC O O O O O S-LOC O O O O O O O O O O O O O O O
SOCCER - GERMAN FIRST DIVISION SUMMARIES .	O O S-MISC O O O O
We now have the opportunity to realize the potential of Arequipa 's excellent assets , " Barrick chairman and chief executive Peter Munk said in a statement .	O O O O O O O O O O S-ORG O O O O O S-ORG O O O O B-PER E-PER O O O O O
Halftime 0-0 .	O O O
